기관ID,구,주소
C1108439,강남구,서울특별시 강남구 도산대로 111 S-TOWER 지하1층 (신사동)
C1107277,송파구,서울특별시 송파구 양재대로 1222 올림픽프라자 23-123호 (방이동)
C1100983,강남구,서울특별시 강남구 도산대로 204 1층 (논현동 동진빌딩)
C1101190,서초구,서울특별시 서초구 방배로 88 1층(방배동)
C1104787,중랑구,서울특별시 중랑구 망우로 353 C동 309호 (상봉동 상봉 프레미어스 엠코)
C1102165,양천구,서울특별시 양천구 월정로 50 209호 (신월동 청솔아파트)
C1107093,마포구,서울특별시 마포구 월드컵북로 230 305호 (중동 현대상가)
C1108564,강동구,서울특별시 강동구 고덕로 353 고덕그라시움아파트(상가1동) 204205호 (고덕동)
C1101128,도봉구,서울특별시 도봉구 도당로13길 49 (방학동)
C1103619,강서구,서울특별시 강서구 강서로 318 (내발산동)
C1101050,강남구,서울특별시 강남구 선릉로 402  (대치동)
C1108226,용산구,서울특별시 용산구 한강대로 69 상가동 2층 222-2호 (한강로2가 용산푸르지오써밋)
C1108799,동작구,서울특별시 동작구 현충로 75 원불교100년기념관 (흑석동)
C1108748,강서구,서울특별시 강서구 양천로 559 가양이마트 2층 (가양동)
C1100566,은평구,서울특별시 은평구 백련산로 91 (응암동)
C1107998,성동구,서울특별시 성동구 왕십리로 410 K동 106호 (하왕십리동 센트라스)
C1108673,노원구,서울특별시 노원구 동일로 1645 에이동 1층 (상계동)
C1102116,구로구,서울특별시 구로구 구로동로 132 (구로동)
C1104298,동대문구,서울특별시 동대문구 사가정로 148 205호 (전농동 sk아파트스포츠상가)
C1100796,강동구,서울특별시 강동구 올림픽로 787 109호 (암사동태성프라자)
C1104416,관악구,서울특별시 관악구 남부순환로 1832 1층
C1108081,양천구,서울특별시 양천구 국회대로 252 (신정동)
C1100724,영등포구,서울특별시 영등포구 신길로 28
C1103579,송파구,서울특별시 송파구 올림픽로35길 124  (신천동)
C1103983,서초구,서울특별시 서초구 반포대로 287
C1108832,구로구,서울특별시 구로구 개봉로 57-1 1층 (개봉동)
C1107987,강서구,서울특별시 강서구 마곡중앙1로 72 307호 (마곡동 마곡엠밸리10단지)
C1100111,강북구,서울특별시 강북구 도봉로 317
C1108656,강동구,서울특별시 강동구 천호대로 1006 브라운스톤천호 105호 (성내동)
C1104321,강서구,서울특별시 강서구 화곡로 328 (화곡동)
C1104734,광진구,서울특별시 광진구 강변역로 50
C1103697,서초구,서울특별시 서초구 방배로 27
C1103627,강서구,서울특별시 강서구 초록마을로 37 (화곡동)
C1108260,노원구,서울특별시 노원구 동일로 986 102동 1층 131-A호 (공릉동 노원 프레미어스 엠코)
C1106981,성동구,서울특별시 성동구 왕십리로 315
C1104163,도봉구,서울특별시 도봉구 해등로 190  (쌍문동 신원주상복합2차아파트)
C1100367,은평구,서울특별시 은평구 응암로 323 (응암동)
C1104164,마포구,서울특별시 마포구 월드컵북로 230 201호 (중동 현대상가)
C1108864,은평구,서울특별시 은평구 통일로 739 1층 (대조동)
C1108732,양천구,서울특별시 양천구 목동동로 293 현대41타워 1층 36호 (목동)
C1108702,중구,서울특별시 중구 명동7길 20 1 2층 (명동1가)
C1103769,강동구,서울특별시 강동구 양재대로130길 10 (명일동)
C1100521,강남구,서울특별시 강남구 선릉로 511 1층 일부호 (역삼동 화신빌딩)
C1103638,강서구,서울특별시 강서구 강서로 43 B104호 (화곡동 도양라비앙타워)
C1103796,동대문구,서울특별시 동대문구 천호대로 425 (장안동)
