기관ID,구,주소
C1107742,송파구,서울특별시 송파구 강동대로 61-1 지층 (풍납동)
C1102070,강남구,서울특별시 강남구 삼성로 212  (대치동 은마아파트)
C1102057,중랑구,서울특별시 중랑구 겸재로 84 (면목동)
C1102059,구로구,서울특별시 구로구 디지털로19길 51
C1103537,강서구,서울특별시 강서구 금낭화로23길 8
C1102055,성북구,서울특별시 성북구 안암로 105 (안암동5가)
C1103225,종로구,서울특별시 종로구 종로 202-1 (종로4가 동흥빌딩)
C1108597,영등포구,서울특별시 영등포구 양산로 138-1  (당산동1가)
C1104187,양천구,서울특별시 양천구 목동동로12길 17 (목동)
C1109078,송파구,서울특별시 송파구 올림픽로 114 2층 (잠실동 서경빌딩)
C1101890,종로구,서울특별시 종로구 종로 192 (종로4가)
C1103354,동대문구,서울특별시 동대문구 서울시립대로 31 102-119호 (전농동 동아아파트)
C1108477,강남구,서울특별시 강남구 강남대로66길 14  (역삼동)
C1102031,강동구,서울특별시 강동구 천호대로 997 (천호동)
C1103573,강북구,서울특별시 강북구 도봉로 118 1층 (미아동)
C1101888,중랑구,서울특별시 중랑구 동일로130길 52  (중화동)
C1101892,용산구,서울특별시 용산구 회나무로 16 (이태원동)
C1104796,금천구,서울특별시 금천구 시흥대로 371 (독산동)
C1107618,동대문구,서울특별시 동대문구 천호대로17길 75 1층 (용두동)
C1107921,강남구,서울특별시 강남구 자곡로 180 109-2호 (자곡동)
C1103001,용산구,서울특별시 용산구 보광로 18 (보광동)
C1101986,서초구,서울특별시 서초구 남부순환로356길 15
C1101997,관악구,서울특별시 관악구 신림로 360-1 (신림동)
C1103133,송파구,서울특별시 송파구 거마로22길 49  (마천동)
C1103005,강서구,서울특별시 강서구 강서로54길 79 1층 (등촌동)
C1101924,강남구,서울특별시 강남구 논현로 330 1층 (역삼동)
C1107664,관악구,서울특별시 관악구 인헌길 76 1층 (봉천동)
C1103963,종로구,서울특별시 종로구 창신길 11
C1101982,양천구,서울특별시 양천구 남부순환로40길 13 (신월동)
C1104724,강남구,서울특별시 강남구 밤고개로1길 10
C1103971,양천구,서울특별시 양천구 월정로 139-1
C1102167,노원구,서울특별시 노원구 동일로 1341 (상계동)
C1101919,양천구,서울특별시 양천구 신정로7길 60-5 107호(신정동동일프라자빌딩)
C1103131,강동구,서울특별시 강동구 명일로 243
C1101881,성동구,서울특별시 성동구 동일로 135 (성수동2가)
C1101920,구로구,서울특별시 구로구 구로동로 138 (구로동)
C1101977,강남구,서울특별시 강남구 언주로146길 18  (논현동 동현아파트)
C1101978,강동구,서울특별시 강동구 양재대로127길 19 (천호동)
C1104461,강남구,서울특별시 강남구 테헤란로114길 16
C1107434,중랑구,서울특별시 중랑구 동일로 925 1층 (묵동)
C1102025,중구,서울특별시 중구 다산로34길 47 (신당동)
C1102105,강동구,서울특별시 강동구 고덕로83길 6 101호 (고덕동)
C1109062,강동구,서울특별시 강동구 고덕로 262 고덕역 효성해링턴 타워 더퍼스트 110호111호 (명일동)
C1102791,강남구,서울특별시 강남구 일원로 35
C1104186,서초구,서울특별시 서초구 사임당로 180
C1101964,송파구,서울특별시 송파구 송이로 239 도은빌딩 1층 4호 (문정동)
C1107203,성북구,서울특별시 성북구 돌곶이로 37 1층 (석관동 상지빌딩)
C1102947,구로구,서울특별시 구로구 구로중앙로 16 1층(구로동)
C1102172,관악구,서울특별시 관악구 봉천로 391 (봉천동)
C1102015,강동구,서울특별시 강동구 양재대로 1319 경일빌딩 1층 106호 (성내동)
C1104208,강동구,서울특별시 강동구 양재대로 1325 102103호 (성내동)
C1104628,관악구,서울특별시 관악구 구암길 98
C1107720,도봉구,서울특별시 도봉구 마들로 650 3층 319호 (방학동 도봉월드상가)
C1103187,동대문구,서울특별시 동대문구 천호대로 8 (신설동)
C1104211,성북구,서울특별시 성북구 돌곶이로27길 79 (장위동)
C1109004,송파구,서울특별시 송파구 올림픽로35길 10 파크리오상가B동 202-1호 (신천동 파크리오)
C1104120,서초구,서울특별시 서초구 서초중앙로22길 8 행림약품 1층 2호 (서초동)
C1103716,영등포구,서울특별시 영등포구 영중로 15 타임스퀘어 지하1층 128-2호 (영등포동4가)
C1104133,강남구,서울특별시 강남구 논현로 717
C1102017,서대문구,서울특별시 서대문구 수색로 26 (남가좌동)
C1100044,마포구,서울특별시 마포구 월드컵북로 396 B1010호 일부(상암동 누리꿈스퀘어)
C1103722,강북구,서울특별시 강북구 덕릉로 136 2층 (번동 삼양빌딩)
C1104680,도봉구,서울특별시 도봉구 마들로 551 상가동 1층 120호 (창동 쌍용아파트)
C1103872,양천구,서울특별시 양천구 목동중앙본로 68-1 (목동)
C1106931,강남구,서울특별시 강남구 압구정로 162 (신사동) 1층 107호
C1104008,강동구,서울특별시 강동구 아리수로93길 27 405호(강일동강일타워)
C1107462,금천구,서울특별시 금천구 디지털로9길 46 이앤씨드림타워7차 201-1호 (가산동)
C1101959,광진구,서울특별시 광진구 천호대로 653 1층 (중곡동)
C1107634,은평구,서울특별시 은평구 수색로 지하 175 1층 003호
C1102945,영등포구,서울특별시 영등포구 당산로 222
C1104341,구로구,서울특별시 구로구 경인로 662
C1107554,종로구,서울특별시 종로구 종로 19 르메이에르종로타운1 304-1호 (종로1가)
C1104386,노원구,서울특별시 노원구 화랑로51길 78
C1108105,광진구,서울특별시 광진구 뚝섬로 595 1층 (자양동)
C1107936,성동구,서울특별시 성동구 아차산로 42 지하1층 (성수동1가)
C1107897,노원구,서울특별시 노원구 동일로203가길 29 271호 272호 (중계동 중계브라운스톤)
C1108431,강남구,서울특별시 강남구 테헤란로 125 지하1층 (역삼동)
C1108155,강북구,서울특별시 강북구 도봉로 295 1층 (수유동)
C1108458,송파구,서울특별시 송파구 올림픽로8길 20 잠실아이파크 1층 A115호 (잠실동)
C1107323,강서구,서울특별시 강서구 화곡로 166 1층 (화곡동)
C1109115,송파구,서울특별시 송파구 올림픽로 240 잠실지하광장 지하도상가 1호 (잠실동)
C1108962,강남구,서울특별시 강남구 강남대로 318 1층 (역삼동)
C1108918,강동구,서울특별시 강동구 성안로 155  (천호동 강동역두산위브센티움)
C1108781,구로구,서울특별시 구로구 새말로 97 신도림테크노마트 사무동 10층 (구로동)
C1108778,관악구,서울특별시 관악구 신림로 344 SK허브그린 107108호 (신림동)
C1108904,마포구,서울특별시 마포구 신촌로 190 1층 (염리동)
C1103316,강남구,서울특별시 강남구 삼성로149길 32 102호 (청담동)
C1107407,동작구,서울특별시 동작구 여의대방로 142 (대방동)
C1100045,마포구,서울특별시 마포구 신촌로 170 2층 상가 311호(대흥동 이대역푸르지오시티)
C1107482,서초구,서울특별시 서초구 서초중앙로 229 1층 (반포동)
C1104501,강서구,서울특별시 강서구 강서로13길 3 (화곡동)
C1108755,금천구,서울특별시 금천구 디지털로9길 56 코오롱테크노밸리 109호 (가산동)
C1108737,중구,서울특별시 중구 퇴계로 447 218-1호 (황학동 황학 아크로타워)
C1103741,노원구,서울특별시 노원구 노해로 485 101호 (상계동 금정빌딩)
C1101819,광진구,서울특별시 광진구 아차산로 375 크레신타워3차 1층 107호 (구의동)
C1107049,관악구,서울특별시 관악구 난곡로 215 (신림동)
C1108392,동작구,서울특별시 동작구 상도로 348 평강빌딩 1층 (상도동)
C1107532,도봉구,서울특별시 도봉구 우이천로4길 42 1층 (창동)
C1101914,송파구,서울특별시 송파구 송파대로 381 형제빌딩 1층 (석촌동)
C1106920,구로구,서울특별시 구로구 디지털로31길 86 (구로동 삼성래미안아파트)
C1108619,성북구,서울특별시 성북구 숭인로 50 상가동 2302호 (길음동 래미안길음센터피스)
C1102011,영등포구,서울특별시 영등포구 당산로 214
C1102786,영등포구,서울특별시 영등포구 여의대로 128 (여의도동 LG트윈타워)
C1104355,광진구,서울특별시 광진구 아차산로 478 4층 (구의동그레이스빌딩)
C1108641,서대문구,서울특별시 서대문구 통일로 510 상가동 지2층 107호 (홍은동 북한산 더샵)
C1107789,도봉구,서울특별시 도봉구 시루봉로 105 1층 111호 (방학동 신동아상가)
C1103736,양천구,서울특별시 양천구 목동서로 49 (목동)
C1108278,강남구,서울특별시 강남구 강남대로 470 808타워 5층 502호 (역삼동)
C1107421,송파구,서울특별시 송파구 석촌호수로 135 레이크팰리스 A동 122호 (잠실동)
C1101949,양천구,서울특별시 양천구 신정중앙로23길 3
C1101948,송파구,서울특별시 송파구 동남로3길 3 (가락동)
C1102777,중랑구,서울특별시 중랑구 면목로 330 (면목동)
C1101947,강남구,서울특별시 강남구 선릉로 823  (신사동)
C1100140,관악구,서울특별시 관악구 난곡로 349 1층 102호 (신림동)
C1103444,중랑구,서울특별시 중랑구 망우로 247 로얄스포츠센터 1층 (중화동)
C1104172,영등포구,서울특별시 영등포구 국회대로37길 25 (당산동4가)
C1108309,강남구,서울특별시 강남구 논현로 823 101호 (신사동)
C1108004,송파구,서울특별시 송파구 올림픽로35다길 42 한국루터회관 1층 (신천동)
C1108373,강남구,서울특별시 강남구 학동로 215 101호107호 (논현동)
C1107292,마포구,서울특별시 마포구 서강로 133 병우빌딩 4층
C1102007,금천구,서울특별시 금천구 벚꽃로 286 삼성리더스타워 1층 110-1호 (가산동)
C1102667,관악구,서울특별시 관악구 은천로 109 1층 (봉천동)
C1109060,강남구,서울특별시 강남구 도산대로16길 6 1층 일부호 (논현동)
C1103960,송파구,서울특별시 송파구 올림픽로 145 리센츠 3층 3A36호 (잠실동)
C1100053,강동구,서울특별시 강동구 상일로 74 상가2동 2층 203호 (상일동 고덕리엔파크3단지아파트)
C1108524,송파구,서울특별시 송파구 송파대로 345 1A동 2009호 (가락동 헬리오시티)
C1109068,서초구,서울특별시 서초구 반포대로18길 36 상가동 104호 (서초동 서초센트럴IPARK)
C1109169,서초구,서울특별시 서초구 강남대로 563 1층 (잠원동)
C1109020,강서구,서울특별시 강서구 마곡서로 157 스프링파크타워 208-2호 (마곡동)
C1107229,강서구,서울특별시 강서구 마곡중앙5로 81 107 108호 (마곡동 에스비타운)
C1108046,강서구,서울특별시 강서구 강서로 463 새싹타워 1층 (마곡동)
C1107815,강서구,서울특별시 강서구 마곡중앙5로 6 2층 233호
C1108735,강서구,서울특별시 강서구 공항대로 168 1층 106-1호 (마곡동)
C1107582,강서구,서울특별시 강서구 방화대로 294 마곡더블유타워 114 115호 (마곡동)
C1107242,강서구,서울특별시 강서구 마곡서1로 115-1 마곡헤리움1차 105~106호 (마곡동)
C1107816,강서구,서울특별시 강서구 강서로 385 106호 (마곡동 우성에스비타워)
C1108329,강서구,서울특별시 강서구 마곡중앙5로 6 마곡나루역보타닉푸르지오시티 227호 (마곡동)
C1102232,관악구,서울특별시 관악구 난곡로 226 (신림동)
C1101822,노원구,서울특별시 노원구 동일로 1530
C1103334,노원구,서울특별시 노원구 동일로 1529 303호 (상계동)
C1100197,노원구,서울특별시 노원구 동일로 1529 합동빌딩 203호 (상계동)
C1107293,마포구,서울특별시 마포구 신촌로34길 37 1층 (아현동)
C1104695,강남구,서울특별시 강남구 논현로 819 1층 (신사동 명광빌딩)
C1103679,마포구,서울특별시 마포구 마포대로 109
C1103182,금천구,서울특별시 금천구 금하로 720 에벤에셀프라자 2층 206호 (시흥동)
C1109085,강서구,서울특별시 강서구 공항대로 186 로뎀타워 2층 205-1호 (마곡동)
C1107941,노원구,서울특별시 노원구 동일로 1417 1층 (상계동)
C1104173,영등포구,서울특별시 영등포구 선유로 59 104호 (문래동6가문래아카데미)
C1108595,관악구,서울특별시 관악구 남현길 7 한일프라자 1층 (남현동)
C1104612,종로구,서울특별시 종로구 통일로16길 2 (무악동)
C1101582,동대문구,서울특별시 동대문구 고산자로 410 1층 (용두동)
C1102875,송파구,서울특별시 송파구 거마로 58 (마천동)
C1101875,송파구,서울특별시 송파구 거마로 60 1층(마천동)
C1101877,송파구,서울특별시 송파구 마천로51길 2 수정빌딩 (마천동)
C1103851,중랑구,서울특별시 중랑구 동일로 932 301호 (묵동 묵동자이아파트)
C1103424,양천구,서울특별시 양천구 오목로 299
C1107929,마포구,서울특별시 마포구 월드컵로 204 이안상암 105호 (성산동)
C1109052,마포구,서울특별시 마포구 도화길 33 1층 우측호 (도화동)
C1103881,마포구,서울특별시 마포구 백범로 202 201호 (신공덕동 마포KCC웰츠타워)
C1109178,마포구,서울특별시 마포구 대흥로24길 24 상가A동 206호 (염리동)
C1103546,강서구,서울특별시 강서구 수명로 76 서울메디스테이트빌딩 102호 (내발산동)
C1101940,노원구,서울특별시 노원구 동일로 1538 12단지 종합상가 2층 201호 (상계동)
C1104825,강북구,서울특별시 강북구 삼양로 675 (우이동)
C1107906,강남구,서울특별시 강남구 도산대로53길 13 1층 (신사동)
C1103812,송파구,서울특별시 송파구 동남로 236 2층 (가락동)
C1107911,성동구,서울특별시 성동구 금호로 117 상가동 지2층 28-1호 (금호동2가 금호자이1차)
C1102835,강동구,서울특별시 강동구 천중로 237 1층 (길동)
C1101848,동작구,서울특별시 동작구 장승배기로 110 (노량진동)
C1104655,동대문구,서울특별시 동대문구 천호대로83길 39 (장안동)
C1101856,성북구,서울특별시 성북구 보문로 157 (삼선동5가)
C1103967,영등포구,서울특별시 영등포구 여의대방로 65 돈보스코청소년센터 2층 8호 (신길동)
C1108488,구로구,서울특별시 구로구 개봉로 47 1층 (개봉동)
C1100049,강서구,서울특별시 강서구 양천로 600 1층 (등촌동)
C1103803,은평구,서울특별시 은평구 진관2로 57-7 253동 104호 (진관동 은평뉴타운우물골)
C1102871,영등포구,서울특별시 영등포구 당산로 42
C1101857,구로구,서울특별시 구로구 경인로40길 47
C1108404,양천구,서울특별시 양천구 중앙로29길 61 상가동 108호 (신월동 신정뉴타운롯데캐슬)
C1107834,송파구,서울특별시 송파구 새말로 125 어은회관 107호 (문정동)
C1107797,강남구,서울특별시 강남구 개포로 265 개포동 메디시스빌딩 1층 101호 (개포동)
C1107294,마포구,서울특별시 마포구 마포대로 201 (아현동 마포트라팰리스2차)
C1107780,강서구,서울특별시 강서구 공항대로 168 117118호 (마곡동)
C1108624,관악구,서울특별시 관악구 신림로 357 1층 (신림동)
C1108742,마포구,서울특별시 마포구 월드컵로 79 유용빌딩 1층 (망원동)
C1109055,마포구,서울특별시 마포구 월드컵로13길 56 1층 (망원동)
C1108389,마포구,서울특별시 마포구 망원로8길 55 구앤윤브릭하우스 1층 (망원동)
C1101866,강남구,서울특별시 강남구 남부순환로 2725
C1101868,강북구,서울특별시 강북구 도봉로 389 1층 (수유동)
C1107167,관악구,서울특별시 관악구 인헌길 39 법향빌 1층 (봉천동)
C1101869,강동구,서울특별시 강동구 양재대로 1335 (성내동)
C1107079,양천구,서울특별시 양천구 목동동로 233-1 (목동)
C1108141,마포구,서울특별시 마포구 월드컵북로 396 누리꿈스퀘어 B1094호 (상암동)
C1107361,송파구,서울특별시 송파구 백제고분로 187 1층 103104호 (잠실동 파크인수)
C1107970,영등포구,서울특별시 영등포구 국제금융로6길 33 1층 127호 (여의도동)
C1102864,도봉구,서울특별시 도봉구 해등로 255 101동 102호 (쌍문동 신원상가에벤에셀)
C1103237,송파구,서울특별시 송파구 송이로 111 (가락동 청석빌딩 1층)
C1101839,구로구,서울특별시 구로구 목동남로 32  (고척동)
C1104087,서초구,서울특별시 서초구 강남대로 455 3층 305호 (서초동 강남태영데시앙루브)
C1101842,동대문구,서울특별시 동대문구 회기로 173 1층 (회기동)
C1102867,도봉구,서울특별시 도봉구 방학로 183
C1103430,서초구,서울특별시 서초구 방배로 82 지하1층 2호 (방배동)
C1101846,도봉구,서울특별시 도봉구 도봉로 484
C1107073,동대문구,서울특별시 동대문구 망우로 123 1층 (휘경동)
C1102633,강서구,서울특별시 강서구 양천로 104 (방화동)
C1101802,강남구,서울특별시 강남구 삼성로 38
C1103916,구로구,서울특별시 구로구 공원로7길 40 1층 (구로동 대영빌딩)
C1103835,종로구,서울특별시 종로구 대학로9길 6 1층2층 (명륜4가)
C1102637,동작구,서울특별시 동작구 보라매로 113 105호 (대방동 코스모빌딩)
C1101809,광진구,서울특별시 광진구 광나루로 355 (군자동)
C1102388,관악구,서울특별시 관악구 은천로25길 69 1층(봉천동삼성프라자)
C1104397,강서구,서울특별시 강서구 공항대로41길 65 1층110호 (등촌동)
C1101633,서초구,서울특별시 서초구 방배로 115 (방배동)
C1102631,성북구,서울특별시 성북구 아리랑로 3 (동소문동6가)
C1102808,도봉구,서울특별시 도봉구 도봉로 677 105호 (방학동)
C1102638,마포구,서울특별시 마포구 월드컵로14길 5 (서교동)
C1103726,종로구,서울특별시 종로구 경교장길 35 3136호 (평동 경희궁자이 3단지)
C1100729,노원구,서울특별시 노원구 동일로 1044 1층 (공릉동)
C1101800,동작구,서울특별시 동작구 보라매로 106 (신대방동)
C1104042,양천구,서울특별시 양천구 신정이펜2로 12 이펜하우스타워 104호 (신정동)
C1107366,강남구,서울특별시 강남구 밤고개로21길 8 세곡프라자 107호
C1104323,양천구,서울특별시 양천구 오목로 312 (목동)
C1101552,강남구,서울특별시 강남구 남부순환로 2917  (대치동)
C1103775,성북구,서울특별시 성북구 오패산로 49 3층 (하월곡동)
C1103482,영등포구,서울특별시 영등포구 양평로 16 1층105호(당산동6가대정프라자)
C1101525,중구,서울특별시 중구 다산로 134 (신당동)
C1104107,강남구,서울특별시 강남구 남부순환로 2609 1층(도곡동 하늘빌딩)
C1107367,서초구,서울특별시 서초구 강남대로 615 1층 (잠원동 금정빌딩)
C1101526,강남구,서울특별시 강남구 영동대로86길 10  (대치동)
C1108961,강남구,서울특별시 강남구 논현로 98 문화빌딩 2층 (개포동)
C1100027,성동구,서울특별시 성동구 고산자로 234
C1108915,강동구,서울특별시 강동구 양재대로121길 7 거송빌딩 103104호 (천호동)
C1108362,마포구,서울특별시 마포구 월드컵로 73 1층 (망원동)
C1108432,중랑구,서울특별시 중랑구 면목로 430 1층 (면목동)
C1103974,동작구,서울특별시 동작구 서달로 150 207호 208호 (흑석동 해가든상가)
C1107084,영등포구,서울특별시 영등포구 영등포로 81-1 메디컬수약국 (양평동1가)
C1107319,동대문구,서울특별시 동대문구 휘경로 43 1층 (휘경동)
C1101901,서초구,서울특별시 서초구 방배로 225 1층 (방배동 성은빌딩)
C1104507,서초구,서울특별시 서초구 신반포로 157
C1107395,서대문구,서울특별시 서대문구 통일로 435 (홍제동)
C1109030,강서구,서울특별시 강서구 화곡로 162 1층 (화곡동)
C1107596,강동구,서울특별시 강동구 아리수로93길 27 강일타워 106호
C1102747,은평구,서울특별시 은평구 수색로 270-1
C1103114,도봉구,서울특별시 도봉구 도봉로 487 1층 (쌍문동)
C1101529,은평구,서울특별시 은평구 응암로22길 15-1
C1103080,양천구,서울특별시 양천구 목동동로 379 (목동)
C1102748,양천구,서울특별시 양천구 남부순환로40가길 15-1 (신월동)
C1101530,서초구,서울특별시 서초구 서운로 207 삼호종합상가 106호 (서초동)
C1101721,용산구,서울특별시 용산구 한강대로 211
C1104613,중구,서울특별시 중구 다산로 223 신당빌딩 (신당동)
C1101682,성동구,서울특별시 성동구 행당로 87
C1102734,송파구,서울특별시 송파구 송이로 87 1층 (가락동)
C1101683,금천구,서울특별시 금천구 시흥대로 352
C1101684,강서구,서울특별시 강서구 강서로 56 (화곡동)
C1103502,은평구,서울특별시 은평구 진흥로1길 2 (역촌동)
C1107744,송파구,서울특별시 송파구 충민로2길 24 리더스프라자 104호 (장지동)
C1101685,마포구,서울특별시 마포구 신촌로 232 1층 (아현동)
C1103795,동대문구,서울특별시 동대문구 한천로 55 (답십리동)
C1101717,서초구,서울특별시 서초구 사임당로 157 4층 (서초동)
C1107118,구로구,서울특별시 구로구 도림로 75 1층 (구로동 한진빌딩)
C1108963,송파구,서울특별시 송파구 법원로9길 26 에이치비지니스파크 D동 119호 (문정동)
C1101718,서초구,서울특별시 서초구 효령로2길 4 (방배동)
C1106935,강남구,서울특별시 강남구 논현로159길 10 (신사동) 1층일부
C1102735,강동구,서울특별시 강동구 구천면로 200 (천호동)
C1104025,용산구,서울특별시 용산구 청파로47길 40 (청파동2가)
C1101719,강동구,서울특별시 강동구 천호대로 1467 (상일동)
C1103956,강북구,서울특별시 강북구 도봉로 34
C1103332,성북구,서울특별시 성북구 돌곶이로 45 (석관동)
C1107675,광진구,서울특별시 광진구 용마산로 4 1층 (중곡동)
C1101704,성북구,서울특별시 성북구 오패산로 57  (하월곡동)
C1101723,강남구,서울특별시 강남구 삼성로 38
C1103621,성동구,서울특별시 성동구 아차산로7길 19 (성수동2가)
C1104502,강서구,서울특별시 강서구 화곡로 138 1층 (화곡동)
C1104177,동대문구,서울특별시 동대문구 망우로18길 6 1층 (휘경동)
C1101724,은평구,서울특별시 은평구 연서로 332 (불광동)
C1109042,종로구,서울특별시 종로구 새문안로3길 15 동원빌딩 1층 (당주동)
C1108244,은평구,서울특별시 은평구 서오릉로 191 1층 (구산동)
C1109148,마포구,서울특별시 마포구 상암산로1길 73 월드프라자 103호 (상암동)
C1108354,노원구,서울특별시 노원구 동일로 1547 동남빌딩 1층 102호 (상계동)
C1104306,양천구,서울특별시 양천구 목동동로 59 104호(신정동로얄프라자)
C1101727,양천구,서울특별시 양천구 남부순환로40길 63 1층 (신월동)
C1103306,강북구,서울특별시 강북구 삼양로 433 삼원빌딩 1층 (수유동)
C1109181,서초구,서울특별시 서초구 바우뫼로35길 28 1층 (양재동)
C1102322,은평구,서울특별시 은평구 가좌로 325 (신사동)
C1104194,마포구,서울특별시 마포구 창전로 45 103동 108호 (창전동 서강한화오벨리스크 단지내 상가)
C1103268,중구,서울특별시 중구 퇴계로87길 15-8 (황학동)
C1102729,양천구,서울특별시 양천구 신목로 36 102호 (신정동 대보빌딩)
C1106939,강남구,서울특별시 강남구 논현로160길 13 1층 101호 (신사동)
C1102730,송파구,서울특별시 송파구 올림픽로 212 2층 220호 (잠실동 갤러리아팰리스)
C1108073,동작구,서울특별시 동작구 노량진로 152 . 1층 (노량진동)
C1101439,송파구,서울특별시 송파구 올림픽로 119 1층 A12호 (잠실동 파인애플상가 1층 A12호)
C1107743,송파구,서울특별시 송파구 올림픽로35길 10 B동 212-1호 (신천동 파크리오)
C1101441,서초구,서울특별시 서초구 효령로46길 14 (서초동)
C1103283,서초구,서울특별시 서초구 잠원로14길 29  (잠원동)
C1103677,노원구,서울특별시 노원구 덕릉로126길 11 (상계동)
C1101442,강서구,서울특별시 강서구 양천로 72
C1104874,성동구,서울특별시 성동구 용답중앙길 80-1
C1101450,양천구,서울특별시 양천구 목동남로4길 32 (신정동)
C1107236,강서구,서울특별시 강서구 마곡중앙5로 87
C1104178,강남구,서울특별시 강남구 강남대로 256
C1104666,강동구,서울특별시 강동구 천호대로 1200
C1102732,구로구,서울특별시 구로구 오리로 1270 2층 (궁동)
C1103466,용산구,서울특별시 용산구 청파로 324 1층 (청파동1가)
C1104400,도봉구,서울특별시 도봉구 도봉로 488
C1101490,송파구,서울특별시 송파구 동남로 189 가락쌍용아파트 101호 (가락동)
C1103620,강서구,서울특별시 강서구 강서로 293-1 (내발산동)
C1107283,성동구,서울특별시 성동구 무학로 33
C1101492,송파구,서울특별시 송파구 송파대로 365 (석촌동)
C1101493,강북구,서울특별시 강북구 오현로32길 3 (번동)
C1101495,성동구,서울특별시 성동구 행당로 84 132호 (행당동 행당한진타운종합상가)
C1102702,성동구,서울특별시 성동구 성수일로 39
C1101499,강남구,서울특별시 강남구 강남대로 242 1층(도곡동 크리스탈빌딩)
C1103111,중구,서울특별시 중구 소공로 지하 58 화-2호 (충무로1가)
C1104614,서초구,서울특별시 서초구 고무래로 32 반포트라이엄프메딕스빌딩 107호 (반포동)
C1103393,강남구,서울특별시 강남구 남부순환로 2941 101호 (대치동)
C1102728,강남구,서울특별시 강남구 언주로30길 13  (도곡동 대림아크로빌 대림아크로텔)
C1104631,성북구,서울특별시 성북구 보국문로 53 (정릉동)
C1108213,중랑구,서울특별시 중랑구 사가정로 404-6 1층지층 (면목동)
C1101466,중랑구,서울특별시 중랑구 용마산로 328 (면목동)
C1108892,중랑구,서울특별시 중랑구 겸재로 194 (면목동)
C1101468,중랑구,서울특별시 중랑구 겸재로 121  (면목동)
C1108274,중구,서울특별시 중구 남대문로7길 11 1층 (소공동)
C1108610,중구,서울특별시 중구 남대문로 68 5층 (명동2가)
C1103887,중구,서울특별시 중구 퇴계로 109 (충무로1가)
C1103640,중구,서울특별시 중구 퇴계로 123
C1102692,성동구,서울특별시 성동구 고산자로 164
C1101469,중구,서울특별시 중구 소공로 64 A-102(충무로1가동남도서빌딩)
C1101470,중구,서울특별시 중구 남대문로 68 3층 (명동2가)
C1108759,중구,서울특별시 중구 명동9길 23 한양빌딩 1 2층 (을지로2가)
C1107601,중구,서울특별시 중구 명동9길 23 1층 102호 (을지로2가)
C1102693,종로구,서울특별시 종로구 성균관로 56-1 (명륜1가)
C1101484,금천구,서울특별시 금천구 시흥대로 238
C1101486,구로구,서울특별시 구로구 디지털로32길 97-39 (구로동)
C1101487,강남구,서울특별시 강남구 양재대로55길 6  (일원동)
C1104292,송파구,서울특별시 송파구 마천로41길 20 1층 (마천동)
C1103728,강서구,서울특별시 강서구 허준로 175  (가양동 가양6단지아파트)
C1101864,서대문구,서울특별시 서대문구 연희로36길 10 1층 (연희동)
C1100069,동대문구,서울특별시 동대문구 사가정로 225 1층 (장안동)
C1102681,금천구,서울특별시 금천구 시흥대로 92 (시흥동)
C1104204,도봉구,서울특별시 도봉구 노해로 384 2층 203-1호
C1101460,송파구,서울특별시 송파구 백제고분로41길 31 (송파동)
C1102811,강동구,서울특별시 강동구 구천면로 424  (명일동)
C1102130,광진구,서울특별시 광진구 광나루로 538  (구의동)
C1101462,영등포구,서울특별시 영등포구 도림로 152-4 (대림동)
C1101464,마포구,서울특별시 마포구 월드컵로 87
C1102982,관악구,서울특별시 관악구 관악로 231-1 (봉천동)
C1102648,성북구,서울특별시 성북구 돌곶이로 28
C1104549,동작구,서울특별시 동작구 서달로 151 (흑석동)
C1102649,금천구,서울특별시 금천구 시흥대로138길 13
C1104627,서대문구,서울특별시 서대문구 홍제천로 14 (연희동)
C1107607,금천구,서울특별시 금천구 탑골로 18
C1103776,성북구,서울특별시 성북구 종암로 180  (하월곡동)
C1103558,강남구,서울특별시 강남구 개포로 207  (개포동)
C1101859,동대문구,서울특별시 동대문구 망우로18나길 3
C1108573,송파구,서울특별시 송파구 거마로 62 효명빌딩 1층 (마천동)
C1107705,중구,서울특별시 중구 남대문로9길 51 효덕빌딩 5층 (을지로1가)
C1102650,금천구,서울특별시 금천구 시흥대로 473 (독산동)
C1101853,광진구,서울특별시 광진구 아차산로 532 101호(광장동진넥스빌딩)
C1102679,강남구,서울특별시 강남구 압구정로 212  (신사동)
C1108777,서대문구,서울특별시 서대문구 신촌로35길 10 117호 (북아현동 e편한세상신촌 4단지)
C1103096,동작구,서울특별시 동작구 여의대방로 126 (신대방동)
C1101861,강동구,서울특별시 강동구 고덕로 276 지하1층 (명일동 이마트명일점)
C1103392,강동구,서울특별시 강동구 동남로73길 26 (명일동)
C1102812,강동구,서울특별시 강동구 양재대로 1626 202호 (명일동)
C1104236,은평구,서울특별시 은평구 통일로 805
C1101547,강동구,서울특별시 강동구 구천면로 428 204호 (명일동센트로빌)
C1104553,서대문구,서울특별시 서대문구 홍은중앙로7길 2 (홍은동)
C1101931,용산구,서울특별시 용산구 신흥로36길 3 (후암동)
C1107986,강서구,서울특별시 강서구 마곡중앙로 161-17 보타닉파크타워Ⅰ 110호 (마곡동)
C1101823,마포구,서울특별시 마포구 임정로15길 13 (신공덕동)
C1108486,강남구,서울특별시 강남구 테헤란로 120 상경빌딩 1층 (역삼동)
C1106977,서초구,서울특별시 서초구 강남대로 341
C1102646,성북구,서울특별시 성북구 아리랑로5길 1 1층
